Gene_ID,Chr,Testes_Specific,Ovaries_Specific,variable,value,Population
AGAP000327,X,-1,-1,I_mean_FPKM,0.012768674,I
AGAP000328,X,-1,-1,I_mean_FPKM,40.70187988,I
AGAP000329,X,-1,-1,I_mean_FPKM,0.09745884,I
AGAP000330,X,-1,-1,I_mean_FPKM,12.18682542,I
AGAP000331,X,-1,-1,I_mean_FPKM,0.156470737,I
AGAP000332,X,-1,-1,I_mean_FPKM,25.05493499,I
AGAP000334,X,-1,-1,I_mean_FPKM,7.074666706,I
AGAP000336,X,-1,-1,I_mean_FPKM,27.07090257,I
AGAP000337,X,-1,-1,I_mean_FPKM,64.55450863,I
AGAP000338,X,-1,-1,I_mean_FPKM,0.475951274,I
AGAP000339,X,,,I_mean_FPKM,15.67378865,I
AGAP000340,X,-1,-1,I_mean_FPKM,0.505246844,I
AGAP000341,X,-1,-1,I_mean_FPKM,0.064442035,I
AGAP000342,X,-1,-1,I_mean_FPKM,0.714292121,I
AGAP000343,X,-1,-1,I_mean_FPKM,14.34358057,I
AGAP000344,X,-1,-1,I_mean_FPKM,0.039478808,I
AGAP000345,X,-1,-1,I_mean_FPKM,0.013325215,I
AGAP000346,X,-1,-1,I_mean_FPKM,0.01713616,I
AGAP000347,X,-1,-1,I_mean_FPKM,0.039010428,I
AGAP000348,X,-1,-1,I_mean_FPKM,0.019482384,I
AGAP000349,X,-1,-1,I_mean_FPKM,4.622864893,I
AGAP000351,X,-1,-1,I_mean_FPKM,7.744745643,I
AGAP000352,X,,,I_mean_FPKM,0,I
AGAP000354,X,-1,-1,I_mean_FPKM,61.33253339,I
AGAP000355,X,-1,-1,I_mean_FPKM,8.532830067,I
AGAP000356,X,-1,-1,I_mean_FPKM,0.053858997,I
AGAP000357,X,-1,-1,I_mean_FPKM,0.003265165,I
AGAP000358,X,-1,-1,I_mean_FPKM,10.95467696,I
AGAP000359,X,-1,-1,I_mean_FPKM,0.567352488,I
AGAP000360,X,-1,-1,I_mean_FPKM,0,I
AGAP000361,X,-1,-1,I_mean_FPKM,0,I
AGAP000363,X,-1,-1,I_mean_FPKM,0.07347207,I
AGAP000364,X,-1,-1,I_mean_FPKM,0.006853823,I
AGAP000365,X,-1,-1,I_mean_FPKM,6.254146106,I
AGAP000366,X,-1,-1,I_mean_FPKM,0.079095664,I
AGAP000367,X,-1,-1,I_mean_FPKM,31.31554341,I
AGAP000368,X,-1,-1,I_mean_FPKM,25.1456114,I
AGAP000369,X,-1,-1,I_mean_FPKM,0.063640106,I
AGAP000372,X,-1,-1,I_mean_FPKM,1.955085249,I
AGAP000374,X,-1,-1,I_mean_FPKM,10.60185978,I
AGAP000375,X,-1,-1,I_mean_FPKM,27.56463217,I
AGAP000376,X,-1,-1,I_mean_FPKM,0.011244808,I
AGAP000377,X,-1,-1,I_mean_FPKM,0.117056304,I
